AAH03584.2	NP_000782.1	100.00	187	0	0	1	187	1	187	3e-137	387	Homo sapiens
AAH03584.2	XP_011510839.1	93.44	183	12	0	5	187	5	187	2e-123	352	Homo sapiens
AAH03584.2	NP_789785.1	93.44	183	12	0	5	187	5	187	2e-123	352	Homo sapiens
AAH03584.2	NP_001182572.1	93.44	183	12	0	5	187	5	187	2e-123	352	Homo sapiens
AAH03584.2	NP_001277283.1	100.00	135	0	0	53	187	1	135	6e-95	278	Homo sapiens
AAH03584.2	NP_001277286.1	100.00	123	0	0	1	123	1	123	4e-86	255	Homo sapiens
AAH03584.2	NP_001328947.1	35.39	178	107	3	8	183	69	240	2e-31	121	Arabidopsis thaliana
AAH03584.2	NP_001328950.1	35.39	178	107	3	8	183	22	193	6e-31	120	Arabidopsis thaliana
AAH03584.2	NP_001328948.1	35.39	178	107	3	8	183	22	193	6e-31	120	Arabidopsis thaliana
AAH03584.2	NP_195183.2	35.39	178	107	3	8	183	69	240	6e-31	121	Arabidopsis thaliana
AAH03584.2	NP_001328949.1	35.39	178	107	3	8	183	44	215	6e-31	120	Arabidopsis thaliana
AAH03584.2	NP_001324592.1	35.56	180	108	3	8	185	25	198	9e-30	116	Arabidopsis thaliana
AAH03584.2	NP_179230.1	35.56	180	108	3	8	185	25	198	2e-29	116	Arabidopsis thaliana
AAH03584.2	NP_001324593.1	35.56	180	108	3	8	185	25	198	2e-29	116	Arabidopsis thaliana
AAH03584.2	XP_005539048.1	32.37	207	111	8	5	187	13	214	1e-25	106	Cyanidioschyzon merolae
